         839067144 function calls (636176786 primitive calls) in 320.454 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    12260    0.008    0.000    0.008    0.000 {built-in method pandas._libs.lib.infer_datetimelike_array}
      126    0.000    0.000    0.000    0.000 {built-in method pandas._libs.lib.is_integer}
    16758    0.002    0.000    0.002    0.000 {built-in method pandas._libs.lib.is_scalar}
    10760    0.070    0.000    0.070    0.000 {built-in method pandas._libs.tslib.array_to_datetime}
    79779    0.036    0.000    3.639    0.000 {method 'add' of 'set' objects}
      126    0.000    0.000    0.001    0.000 {method 'any' of 'numpy.ndarray' objects}
   399699    0.059    0.000    0.059    0.000 {method 'append' of 'list' objects}
   158410    0.040    0.000    0.040    0.000 {method 'difference' of 'set' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
       17    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
      212    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      252    0.000    0.000    0.000    0.000 {method 'fill' of 'numpy.ndarray' objects}
  429/335    0.002    0.000    0.004    0.000 {method 'format' of 'str' objects}
   158410    0.055    0.000    7.211    0.000 {method 'get' of 'dict' objects}
   134540    0.023    0.000    0.023    0.000 {method 'items' of 'dict' objects}
      126    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
      126    0.001    0.000    0.001    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     3246    0.000    0.000    0.000    0.000 {method 'remove' of 'set' objects}
    10760    0.006    0.000    0.006    0.000 {method 'reshape' of 'numpy.ndarray' objects}
      252    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
     4120    0.003    0.000    0.003    0.000 {method 'search' of 're.Pattern' objects}
       29    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
    79779    0.024    0.000    0.024    0.000 {method 'union' of 'set' objects}
      209    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
      126    0.002    0.000    0.003    0.000 {pandas._libs.lib.infer_dtype}
    12260    0.157    0.000    0.157    0.000 {pandas._libs.lib.maybe_convert_objects}
    72576    0.018    0.000    0.018    0.000 {shapely.speedups._speedups.coordseq_iter}
   103680    0.294    0.000    0.302    0.000 {shapely.speedups._speedups.geos_linearring_from_py}
    31104    0.045    0.000    0.050    0.000 {shapely.speedups._speedups.geos_linestring_from_py}
